"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2020","3.2957","2.8660","3.3554","2.8639","8.37M","14.99%"
"Nov 05, 2020","2.8661","2.7610","2.9535","2.6821","7.92M","3.81%"
"Nov 04, 2020","2.7610","2.8656","2.9707","2.6199","6.93M","-3.63%"
"Nov 03, 2020","2.8651","2.9720","2.9867","2.7873","5.35M","-3.59%"
"Nov 02, 2020","2.9720","3.1313","3.1829","2.9256","5.45M","-5.09%"
"Nov 01, 2020","3.1313","2.9126","3.1550","2.8362","6.03M","7.52%"
"Oct 31, 2020","2.9124","2.8602","2.9577","2.8479","5.03M","1.86%"
"Oct 30, 2020","2.8592","2.8932","2.9327","2.7447","6.21M","-1.17%"
"Oct 29, 2020","2.8932","3.0312","3.1467","2.8259","6.04M","-4.56%"
"Oct 28, 2020","3.0313","3.2084","3.2353","2.9606","5.51M","-5.52%"
"Oct 27, 2020","3.2084","3.2357","3.2965","3.1304","5.36M","-0.82%"
"Oct 26, 2020","3.2351","3.3158","3.3905","3.0836","5.75M","-2.43%"
"Oct 25, 2020","3.3158","3.4832","3.4832","3.2922","4.30M","-4.85%"
"Oct 24, 2020","3.4847","3.4956","3.5563","3.4429","4.32M","-0.32%"
"Oct 23, 2020","3.4958","3.4789","3.6523","3.3814","6.02M","0.49%"
"Oct 22, 2020","3.4789","3.2656","3.5726","3.2601","6.72M","6.53%"
"Oct 21, 2020","3.2656","3.1681","3.4030","3.1578","6.48M","3.02%"
"Oct 20, 2020","3.1698","3.3415","3.3828","3.1368","5.56M","-5.14%"
"Oct 19, 2020","3.3415","3.4087","3.4951","3.2211","5.36M","-1.97%"
"Oct 18, 2020","3.4087","3.2509","3.4209","3.2397","4.36M","4.90%"
"Oct 17, 2020","3.2495","3.2510","3.3222","3.1070","4.97M","-0.05%"
"Oct 16, 2020","3.2511","3.4407","3.4885","3.2279","5.76M","-5.51%"
"Oct 15, 2020","3.4407","3.3239","3.5038","3.2203","7.03M","3.47%"
"Oct 14, 2020","3.3254","3.5138","3.5507","3.2818","6.80M","-5.36%"
"Oct 13, 2020","3.5138","3.6389","3.6622","3.4358","3.94M","-3.44%"
"Oct 12, 2020","3.6389","3.6470","3.7255","3.4898","5.79M","-0.29%"
"Oct 11, 2020","3.6494","3.6091","3.7530","3.5107","5.49M","0.94%"
"Oct 10, 2020","3.6155","3.4843","3.8675","3.4743","8.85M","3.73%"
"Oct 09, 2020","3.4854","3.3624","3.5990","3.2538","6.93M","3.66%"
"Oct 08, 2020","3.3624","3.2637","3.4692","3.0259","8.71M","3.13%"
"Oct 07, 2020","3.2605","3.3593","3.3593","3.0946","8.03M","-2.91%"
"Oct 06, 2020","3.3580","3.8073","3.8243","3.2837","9.73M","-11.76%"
"Oct 05, 2020","3.8057","3.6260","3.8855","3.6199","7.90M","4.93%"
"Oct 04, 2020","3.6270","3.7432","3.7486","3.4993","7.64M","-3.05%"
"Oct 03, 2020","3.7409","3.7713","3.8714","3.6941","7.81M","-0.44%"
"Oct 02, 2020","3.7573","3.9996","4.2434","3.5739","17.49M","-6.08%"
"Oct 01, 2020","4.0006","3.9846","4.3608","3.8260","15.46M","0.40%"
"Sep 30, 2020","3.9846","4.0556","4.1018","3.8256","9.74M","-1.69%"
"Sep 29, 2020","4.0530","3.7515","4.3818","3.7110","27.20M","8.24%"
"Sep 28, 2020","3.7445","3.0476","4.2636","3.0469","28.08M","22.88%"
"Sep 27, 2020","3.0472","3.0857","3.1108","2.9563","5.79M","-1.22%"
"Sep 26, 2020","3.0847","3.1278","3.1789","3.0240","6.88M","-1.34%"
"Sep 25, 2020","3.1267","3.0898","3.2128","2.8608","8.36M","1.20%"
"Sep 24, 2020","3.0898","2.7439","3.1389","2.7067","10.44M","12.89%"
"Sep 23, 2020","2.7370","3.2283","3.2429","2.6895","17.54M","-15.24%"
"Sep 22, 2020","3.2291","2.5394","3.2725","2.5251","9.95M","27.16%"
"Sep 21, 2020","2.5394","2.8928","2.9543","2.5133","7.66M","-12.14%"
"Sep 20, 2020","2.8901","3.0393","3.0915","2.8026","5.28M","-4.91%"
"Sep 19, 2020","3.0393","3.0074","3.1638","2.9607","5.76M","1.06%"
"Sep 18, 2020","3.0074","3.2808","3.4364","2.9322","9.57M","-8.33%"
"Sep 17, 2020","3.2808","3.0252","3.3518","2.9073","6.65M","8.45%"
"Sep 16, 2020","3.0252","3.4689","3.5619","2.9340","6.94M","-12.79%"
"Sep 15, 2020","3.4690","3.8208","3.8684","3.4466","6.80M","-9.16%"
"Sep 14, 2020","3.8187","3.8137","3.9791","3.6884","8.61M","0.16%"
"Sep 13, 2020","3.8127","4.0767","4.1389","3.6541","11.68M","-6.43%"
"Sep 12, 2020","4.0746","3.8113","4.1406","3.7456","14.11M","6.82%"
"Sep 11, 2020","3.8146","3.8181","3.8737","3.6280","11.25M","-0.09%"
"Sep 10, 2020","3.8181","3.8353","4.0260","3.6720","16.57M","-0.48%"
"Sep 09, 2020","3.8366","3.5361","3.8917","3.4476","14.15M","8.50%"
"Sep 08, 2020","3.5361","3.6011","3.8199","3.4015","14.20M","-1.81%"
"Sep 07, 2020","3.6014","3.9191","3.9494","3.3147","20.41M","-8.09%"
"Sep 06, 2020","3.9182","3.7642","4.0464","3.3754","22.20M","4.09%"
"Sep 05, 2020","3.7642","4.2525","4.4975","3.4398","34.86M","-11.57%"
"Sep 04, 2020","4.2568","3.5315","4.4694","3.2992","43.98M","20.51%"
"Sep 03, 2020","3.5324","4.3965","4.4396","3.3843","33.90M","-19.66%"
"Sep 02, 2020","4.3965","4.9901","5.2266","4.0595","36.16M","-11.88%"
"Sep 01, 2020","4.9892","5.1261","5.1755","4.9522","36.21M","-2.67%"
"Aug 31, 2020","5.1262","5.4950","5.5752","5.1090","41.08M","-6.79%"
"Aug 30, 2020","5.4994","5.1003","5.7956","5.0859","42.61M","7.83%"
"Aug 29, 2020","5.1003","5.3885","5.4408","5.0555","40.57M","-5.35%"
"Aug 28, 2020","5.3884","5.0219","5.4552","4.8720","40.54M","7.28%"
"Aug 27, 2020","5.0226","5.4957","5.5040","4.9210","54.53M","-8.60%"
"Aug 26, 2020","5.4952","5.1535","5.8234","4.9393","70.93M","6.66%"
"Aug 25, 2020","5.1519","5.8604","5.8802","4.7859","55.42M","-12.09%"
"Aug 24, 2020","5.8604","6.4096","6.4362","5.7526","21.84M","-8.57%"
"Aug 23, 2020","6.4096","6.1474","7.1938","6.0140","55.96M","4.27%"
"Aug 22, 2020","6.1471","6.2445","6.4792","5.3302","62.86M","-1.56%"
"Aug 21, 2020","6.2445","5.6708","9.4979","5.6697","154.48M","10.13%"
"Aug 20, 2020","5.6702","3.3690","5.9295","3.2601","89.41M","68.67%"
"Aug 19, 2020","3.3618","2.6955","3.4453","2.6466","39.68M","24.72%"
"Aug 18, 2020","2.6955","2.7056","2.8973","2.4926","17.35M","-0.37%"
"Aug 17, 2020","2.7056","2.7993","3.2807","2.6791","35.70M","-3.35%"
"Aug 16, 2020","2.7993","1.9348","3.1426","1.8977","35.32M","44.69%"
"Aug 15, 2020","1.9347","2.0268","2.0456","1.8994","8.80M","-4.55%"
"Aug 14, 2020","2.0268","1.8374","2.0764","1.7963","14.59M","10.31%"
"Aug 13, 2020","1.8374","1.6961","1.8995","1.6498","15.13M","8.33%"
"Aug 12, 2020","1.6961","1.6572","1.7073","1.5863","10.49M","2.35%"
"Aug 11, 2020","1.6572","1.7977","1.7987","1.6172","11.64M","-7.82%"
"Aug 10, 2020","1.7977","1.7085","1.8500","1.6906","19.07M","5.24%"
"Aug 09, 2020","1.7083","1.6037","1.7184","1.5777","13.09M","6.51%"
"Aug 08, 2020","1.6038","1.5667","1.6043","1.5564","9.69M","2.36%"
"Aug 07, 2020","1.5667","1.6053","1.6417","1.5370","12.30M","-2.40%"
"Aug 06, 2020","1.6053","1.5900","1.6308","1.5691","9.78M","0.96%"
"Aug 05, 2020","1.5900","1.5873","1.6186","1.5722","12.59M","0.17%"
"Aug 04, 2020","1.5873","1.5705","1.5950","1.5475","9.52M","1.07%"
"Aug 03, 2020","1.5705","1.5847","1.6030","1.5590","12.20M","-0.90%"
"Aug 02, 2020","1.5847","1.6566","1.7269","1.4690","14.88M","-4.34%"
"Aug 01, 2020","1.6566","1.5794","1.6611","1.5746","13.12M","4.90%"
"Jul 31, 2020","1.5793","1.5882","1.6086","1.5769","9.03M","-0.56%"
"Jul 30, 2020","1.5882","1.5816","1.5997","1.5535","9.22M","0.42%"
"Jul 29, 2020","1.5816","1.5817","1.5857","1.5815","11.76M","0.10%"
"Jul 28, 2020","1.5799","1.5741","1.5965","1.5475","12.58M","0.37%"
"Jul 27, 2020","1.5741","1.6244","1.6351","1.4730","19.31M","-3.10%"
"Jul 26, 2020","1.6244","1.6445","1.6809","1.6179","13.90M","-1.22%"
"Jul 25, 2020","1.6445","1.6246","1.6626","1.6233","10.85M","1.22%"
"Jul 24, 2020","1.6247","1.6867","1.6900","1.6153","12.18M","-3.68%"
"Jul 23, 2020","1.6867","1.7295","1.7622","1.6697","13.15M","-2.47%"
"Jul 22, 2020","1.7295","1.6514","1.7476","1.6357","13.82M","4.75%"
"Jul 21, 2020","1.6511","1.6247","1.7261","1.6100","15.00M","1.62%"
"Jul 20, 2020","1.6248","1.5535","1.7358","1.5529","17.08M","4.59%"
"Jul 19, 2020","1.5535","1.5839","1.6380","1.5389","13.04M","-1.91%"
"Jul 18, 2020","1.5838","1.4927","1.6006","1.4759","13.96M","6.10%"
"Jul 17, 2020","1.4927","1.4592","1.5136","1.4541","8.25M","1.24%"
"Jul 16, 2020","1.4744","1.5202","1.5392","1.4505","9.69M","-3.01%"
"Jul 15, 2020","1.5202","1.5273","1.5317","1.4891","7.80M","-0.47%"
"Jul 14, 2020","1.5274","1.5380","1.5423","1.4916","8.83M","-0.69%"
"Jul 13, 2020","1.5380","1.5390","1.5890","1.4231","11.66M","-0.05%"
"Jul 12, 2020","1.5388","1.5289","1.5867","1.5119","10.86M","0.65%"
"Jul 11, 2020","1.5289","1.5444","1.5596","1.5250","9.94M","-1.01%"
"Jul 10, 2020","1.5444","1.5537","1.5580","1.4968","10.34M","-0.60%"
"Jul 09, 2020","1.5537","1.6173","1.6175","1.5127","14.77M","-3.94%"
"Jul 08, 2020","1.6175","1.5266","1.6381","1.5168","16.10M","5.96%"
"Jul 07, 2020","1.5265","1.5642","1.5717","1.5067","13.11M","-2.39%"
"Jul 06, 2020","1.5639","1.4981","1.5858","1.4852","16.42M","4.39%"
"Jul 05, 2020","1.4981","1.5157","1.5210","1.4582","11.54M","-1.16%"
"Jul 04, 2020","1.5157","1.4445","1.5573","1.4347","17.74M","4.93%"
"Jul 03, 2020","1.4445","1.4183","1.4500","1.3919","9.44M","1.85%"
"Jul 02, 2020","1.4183","1.4658","1.4783","1.3968","8.76M","-3.29%"
"Jul 01, 2020","1.4664","1.4670","1.4856","1.4516","8.61M","-0.04%"
"Jun 30, 2020","1.4671","1.4711","1.4923","1.4502","8.54M","-0.27%"
"Jun 29, 2020","1.4711","1.4248","1.5053","1.3733","11.92M","3.25%"
"Jun 28, 2020","1.4248","1.3890","1.4511","1.3490","10.86M","2.56%"
"Jun 27, 2020","1.3892","1.4606","1.4618","1.3061","12.17M","-4.89%"
"Jun 26, 2020","1.4606","1.4732","1.4780","1.4302","8.72M","-0.85%"
"Jun 25, 2020","1.4732","1.5138","1.5154","1.4323","9.24M","-2.68%"
"Jun 24, 2020","1.5138","1.5671","1.5926","1.4735","9.79M","-3.40%"
"Jun 23, 2020","1.5671","1.6238","1.6777","1.5646","11.52M","-3.49%"
"Jun 22, 2020","1.6238","1.4508","1.6360","1.4499","17.58M","11.92%"
"Jun 21, 2020","1.4508","1.4700","1.4817","1.4499","8.96M","-1.31%"
"Jun 20, 2020","1.4700","1.4606","1.4969","1.4374","11.42M","0.65%"
"Jun 19, 2020","1.4606","1.4791","1.4860","1.4402","11.00M","-1.25%"
"Jun 18, 2020","1.4791","1.5150","1.5259","1.4538","9.93M","-2.37%"
"Jun 17, 2020","1.5150","1.5268","1.5316","1.4842","10.00M","-0.78%"
"Jun 16, 2020","1.5268","1.5023","1.5505","1.4888","9.65M","1.63%"
"Jun 15, 2020","1.5023","1.5650","1.5716","1.4113","13.50M","-4.01%"
"Jun 14, 2020","1.5650","1.6195","1.6198","1.5264","10.02M","-3.36%"
"Jun 13, 2020","1.6195","1.5501","1.6786","1.5465","12.52M","4.48%"
"Jun 12, 2020","1.5501","1.5075","1.5820","1.4294","11.28M","2.78%"
"Jun 11, 2020","1.5081","1.6501","1.6566","1.4863","11.96M","-8.60%"
"Jun 10, 2020","1.6501","1.6464","1.6995","1.5942","11.24M","0.22%"
"Jun 09, 2020","1.6464","1.6776","1.6967","1.6277","13.82M","-1.84%"
"Jun 08, 2020","1.6772","1.6943","1.7078","1.6679","10.52M","-1.01%"
"Jun 07, 2020","1.6943","1.7097","1.7393","1.6562","15.54M","-0.89%"
"Jun 06, 2020","1.7095","1.6418","1.7629","1.6158","14.58M","4.13%"
"Jun 05, 2020","1.6418","1.6911","1.6957","1.6418","13.25M","-2.91%"
"Jun 04, 2020","1.6911","1.7095","1.7252","1.6635","15.43M","-1.08%"
"Jun 03, 2020","1.7095","1.7384","1.7865","1.6969","17.48M","-1.66%"
"Jun 02, 2020","1.7384","1.7183","1.7841","1.5976","27.39M","1.15%"
"Jun 01, 2020","1.7187","1.5105","1.7953","1.4833","43.27M","13.74%"
"May 31, 2020","1.5110","1.5780","1.5903","1.4599","22.07M","-4.25%"
"May 30, 2020","1.5780","1.6032","1.6198","1.5344","22.37M","-1.57%"
"May 29, 2020","1.6032","1.6060","1.6625","1.5869","17.73M","-0.16%"
"May 28, 2020","1.6057","1.6450","1.6649","1.5847","14.82M","-2.39%"
"May 27, 2020","1.6450","1.6588","1.7200","1.6178","18.35M","-0.83%"
"May 26, 2020","1.6588","1.7239","1.7754","1.6091","19.49M","-3.78%"
"May 25, 2020","1.7240","1.5359","1.8515","1.5280","37.39M","12.24%"
"May 24, 2020","1.5359","1.8716","1.9235","1.5269","35.36M","-17.94%"
"May 23, 2020","1.8716","1.8020","2.0940","1.7991","37.82M","3.86%"
"May 22, 2020","1.8019","1.5398","2.2001","1.4424","99.19M","17.01%"
"May 21, 2020","1.5399","1.1667","1.6241","1.1422","56.19M","31.99%"
"May 20, 2020","1.1667","1.1836","1.2077","1.1225","21.90M","-1.42%"
"May 19, 2020","1.1836","1.0195","1.1943","0.9132","28.77M","16.09%"
"May 18, 2020","1.0195","0.9734","1.0587","0.7926","16.69M","4.73%"
"May 17, 2020","0.9734","0.9326","1.0163","0.9153","15.18M","4.37%"
"May 16, 2020","0.9326","0.9534","0.9559","0.9159","12.11M","-2.18%"
"May 15, 2020","0.9534","0.9428","1.1009","0.9097","31.23M","1.13%"
"May 14, 2020","0.9428","0.7621","1.0369","0.7248","45.11M","23.71%"
"May 13, 2020","0.7621","0.7183","0.7765","0.7100","34.82M","6.10%"
"May 12, 2020","0.7183","0.6642","0.7798","0.5299","37.42M","7.85%"
"May 11, 2020","0.6660","0.6759","0.7579","0.5794","12.71M","-1.53%"
"May 10, 2020","0.6763","0.7412","0.8128","0.6104","46.33M","-8.76%"
"May 09, 2020","0.7412","0.7616","0.8143","0.7302","59.83M","-2.67%"
"May 08, 2020","0.7616","0.7097","0.8245","0.7014","47.37M","7.32%"
"May 07, 2020","0.7097","0.6815","0.7132","0.6756","66.68M","4.19%"
"May 06, 2020","0.6811","0.7078","0.7205","0.6798","22.07M","-3.77%"
"May 05, 2020","0.7078","0.7144","0.7287","0.6894","63.05M","-0.87%"
"May 04, 2020","0.7140","0.7266","0.7311","0.6678","65.08M","-1.71%"
"May 03, 2020","0.7264","0.7502","0.7604","0.7215","110.05M","-3.17%"
"May 02, 2020","0.7502","0.7543","0.8135","0.7373","102.38M","-0.57%"
"May 01, 2020","0.7544","0.7366","0.8464","0.7251","97.78M","2.47%"
"Apr 30, 2020","0.7363","0.7672","0.8170","0.7093","64.18M","-4.03%"
"Apr 29, 2020","0.7672","0.6682","0.7748","0.6614","28.56M","14.81%"
"Apr 28, 2020","0.6682","0.6601","0.6700","0.6391","18.24M","1.23%"
"Apr 27, 2020","0.6601","0.6615","0.6905","0.6424","21.12M","-0.21%"
"Apr 26, 2020","0.6615","0.6307","0.6623","0.6299","20.66M","4.77%"
"Apr 25, 2020","0.6314","0.6167","0.6336","0.6089","17.94M","2.55%"
"Apr 24, 2020","0.6157","0.5960","0.6194","0.5922","18.41M","3.31%"
"Apr 23, 2020","0.5960","0.5769","0.6228","0.5740","20.54M","3.31%"
"Apr 22, 2020","0.5769","0.5610","0.5930","0.5547","19.88M","2.83%"
"Apr 21, 2020","0.5610","0.5407","0.6145","0.5343","20.62M","3.57%"
"Apr 20, 2020","0.5417","0.5789","0.5917","0.5281","24.39M","-6.43%"
"Apr 19, 2020","0.5789","0.5956","0.5987","0.5691","24.67M","-2.80%"
"Apr 18, 2020","0.5956","0.5705","0.5995","0.5657","23.91M","4.41%"
"Apr 17, 2020","0.5705","0.5641","0.5807","0.5559","21.91M","1.14%"
"Apr 16, 2020","0.5641","0.5254","0.5968","0.3993","5.48M","7.29%"
"Apr 15, 2020","0.5258","0.5524","0.5615","0.5239","23.53M","-4.82%"
"Apr 14, 2020","0.5524","0.5565","0.5671","0.3816","22.78M","-0.75%"
"Apr 13, 2020","0.5565","0.5645","0.5916","0.3824","2.80M","-1.51%"
"Apr 12, 2020","0.5651","0.5619","0.6038","0.4820","13.88M","0.57%"
"Apr 11, 2020","0.5619","0.5571","0.5769","0.4140","11.08M","1.09%"
"Apr 10, 2020","0.5558","0.6085","0.6121","0.4136","5.22M","-8.67%"
"Apr 09, 2020","0.6086","0.6250","0.7648","0.5396","12.57M","-2.64%"
"Apr 08, 2020","0.6250","0.6005","0.9956","0.5375","12.77M","4.19%"
"Apr 07, 2020","0.5999","0.6007","0.9380","0.4992","19.92M","-0.14%"
"Apr 06, 2020","0.6007","0.5414","0.9340","0.3896","19.86M","10.96%"
"Apr 05, 2020","0.5414","0.5521","0.9159","0.3908","9.00M","-1.95%"
"Apr 04, 2020","0.5521","0.5458","0.5566","0.5337","10.91M","1.22%"
"Apr 03, 2020","0.5455","0.5524","0.5795","0.5379","15.36M","-1.26%"
"Apr 02, 2020","0.5524","0.5354","0.9302","0.3893","18.20M","3.19%"
"Apr 01, 2020","0.5354","0.5152","0.5382","0.4971","12.86M","3.53%"
"Mar 31, 2020","0.5172","0.5077","0.5187","0.5052","11.26M","1.86%"
"Mar 30, 2020","0.5077","0.4683","0.5262","0.4673","14.21M","8.42%"
"Mar 29, 2020","0.4683","0.5043","0.5061","0.4664","10.54M","-7.07%"
"Mar 28, 2020","0.5039","0.5046","0.5155","0.4761","13.36M","-0.14%"
"Mar 27, 2020","0.5046","0.5206","0.5278","0.4003","10.30M","-3.10%"
"Mar 26, 2020","0.5207","0.5113","0.5221","0.5032","9.43M","1.85%"
"Mar 25, 2020","0.5113","0.5303","0.5325","0.4940","12.68M","-3.59%"
"Mar 24, 2020","0.5303","0.5047","0.5345","0.4724","16.36M","5.01%"
"Mar 23, 2020","0.5050","0.4776","0.5301","0.4692","18.20M","5.66%"
"Mar 22, 2020","0.4780","0.5254","0.5445","0.4738","13.33M","-9.02%"
"Mar 21, 2020","0.5254","0.5334","0.5500","0.4928","5.38M","-1.50%"
"Mar 20, 2020","0.5334","0.5421","0.6023","0.4760","10.45M","-1.64%"
"Mar 19, 2020","0.5423","0.4651","0.5725","0.4640","8.78M","16.58%"
"Mar 18, 2020","0.4651","0.4664","0.4824","0.4270","6.77M","-0.28%"
"Mar 17, 2020","0.4664","0.4372","0.4829","0.4316","6.00M","6.67%"
"Mar 16, 2020","0.4373","0.4933","0.5449","0.3987","9.51M","-11.33%"
"Mar 15, 2020","0.4931","0.4689","0.5244","0.4654","5.16M","5.19%"
"Mar 14, 2020","0.4688","0.4846","0.5167","0.4649","5.83M","-3.13%"
"Mar 13, 2020","0.4840","0.4186","0.5457","0.3176","15.71M","15.74%"
"Mar 12, 2020","0.4182","0.7539","0.7566","0.3760","15.20M","-44.53%"
"Mar 11, 2020","0.7539","0.7925","0.8003","0.7180","4.39M","-4.88%"
"Mar 10, 2020","0.7925","0.7860","0.8067","0.7719","3.96M","0.82%"
"Mar 09, 2020","0.7861","0.7644","0.8138","0.7349","8.61M","2.84%"
"Mar 08, 2020","0.7644","0.9073","0.9073","0.7582","8.45M","-15.75%"
"Mar 07, 2020","0.9072","0.9371","0.9672","0.9048","3.75M","-3.19%"
"Mar 06, 2020","0.9372","0.9284","0.9446","0.9203","3.48M","0.94%"
"Mar 05, 2020","0.9284","0.8969","0.9516","0.8968","6.33M","3.52%"
"Mar 04, 2020","0.8968","0.8878","0.9069","0.8823","27.32M","1.02%"
"Mar 03, 2020","0.8878","0.8943","0.8984","0.8673","10.68M","-0.73%"
"Mar 02, 2020","0.8943","0.8395","0.9057","0.8317","14.47M","6.47%"
"Mar 01, 2020","0.8400","0.8238","0.8618","0.8084","16.22M","1.96%"
"Feb 29, 2020","0.8238","0.8547","0.8798","0.8238","10.36M","-3.62%"
"Feb 28, 2020","0.8547","0.8933","0.9119","0.8241","6.77M","-4.30%"
"Feb 27, 2020","0.8931","0.8563","0.9439","0.8025","8.40M","4.21%"
"Feb 26, 2020","0.8570","0.9889","1.0056","0.8290","10.76M","-13.32%"
"Feb 25, 2020","0.9887","1.0678","1.0679","0.9815","6.23M","-7.41%"
"Feb 24, 2020","1.0678","1.1377","1.1403","1.0451","6.84M","-6.14%"
"Feb 23, 2020","1.1377","1.1049","1.1611","1.1004","5.23M","2.97%"
"Feb 22, 2020","1.1049","1.0965","1.1099","1.0591","4.38M","0.79%"
"Feb 21, 2020","1.0962","1.0819","1.1238","1.0705","4.67M","1.33%"
"Feb 20, 2020","1.0819","1.1005","1.1327","1.0267","8.93M","-1.70%"
"Feb 19, 2020","1.1005","1.1979","1.2221","1.0951","7.19M","-8.13%"
"Feb 18, 2020","1.1979","1.1692","1.2173","1.1142","5.99M","2.46%"
"Feb 17, 2020","1.1692","1.1821","1.1897","1.0577","10.82M","-1.09%"
"Feb 16, 2020","1.1821","1.2857","1.3371","1.0787","13.28M","-8.07%"
"Feb 15, 2020","1.2858","1.3714","1.4593","1.2437","12.98M","-6.26%"
"Feb 14, 2020","1.3716","1.2816","1.3854","1.2545","6.61M","7.02%"
"Feb 13, 2020","1.2817","1.2492","1.3132","1.2182","9.67M","2.60%"
"Feb 12, 2020","1.2492","1.1962","1.2848","1.1957","8.40M","4.43%"
"Feb 11, 2020","1.1962","1.1255","1.1974","1.0917","5.41M","6.30%"
"Feb 10, 2020","1.1253","1.1377","1.1520","1.0704","5.83M","-1.09%"
"Feb 09, 2020","1.1377","1.1567","1.1712","1.0999","5.26M","-1.63%"
"Feb 08, 2020","1.1566","1.1309","1.1741","1.0632","5.58M","2.26%"
"Feb 07, 2020","1.1310","1.1157","1.1810","1.1157","5.98M","1.37%"
"Feb 06, 2020","1.1157","1.0341","1.1528","1.0312","7.20M","7.89%"
"Feb 05, 2020","1.0341","0.9783","1.0428","0.9782","4.88M","5.71%"
"Feb 04, 2020","0.9783","0.9703","0.9969","0.9703","4.83M","0.82%"
"Feb 03, 2020","0.9703","0.9692","0.9934","0.9371","4.88M","0.10%"
"Feb 02, 2020","0.9693","0.9158","1.0269","0.9131","9.70M","5.83%"
"Feb 01, 2020","0.9159","0.9046","0.9180","0.8999","3.12M","1.26%"
"Jan 31, 2020","0.9045","0.8887","0.9218","0.8725","7.10M","1.78%"
"Jan 30, 2020","0.8887","0.8442","0.8953","0.8254","4.74M","5.28%"
"Jan 29, 2020","0.8442","0.8186","0.8517","0.8161","4.26M","3.12%"
"Jan 28, 2020","0.8186","0.8093","0.8322","0.7959","3.72M","1.17%"
"Jan 27, 2020","0.8092","0.7913","0.8307","0.7913","4.00M","2.27%"
"Jan 26, 2020","0.7912","0.7615","0.7919","0.7554","2.05M","3.90%"
"Jan 25, 2020","0.7615","0.7754","0.7755","0.7508","2.39M","-1.82%"
"Jan 24, 2020","0.7756","0.7627","0.7882","0.7258","4.32M","1.69%"
"Jan 23, 2020","0.7627","0.8160","0.8174","0.7552","3.27M","-6.53%"
"Jan 22, 2020","0.8160","0.8350","0.8479","0.8109","3.24M","-2.27%"
"Jan 21, 2020","0.8350","0.7799","0.8369","0.7632","2.87M","7.06%"
"Jan 20, 2020","0.7799","0.7998","0.8004","0.7539","3.22M","-2.47%"
"Jan 19, 2020","0.7997","0.8374","0.8562","0.7619","5.45M","-4.49%"
"Jan 18, 2020","0.8374","0.8868","0.8947","0.8129","6.92M","-5.58%"
"Jan 17, 2020","0.8868","0.7738","0.8943","0.7618","7.05M","14.60%"
"Jan 16, 2020","0.7738","0.7959","0.7996","0.7442","4.65M","-2.76%"
"Jan 15, 2020","0.7958","0.7352","0.8186","0.7273","10.21M","8.22%"
"Jan 14, 2020","0.7353","0.6691","0.7459","0.6684","7.99M","9.89%"
"Jan 13, 2020","0.6691","0.6937","0.6991","0.6580","2.21M","-3.54%"
"Jan 12, 2020","0.6937","0.6722","0.6937","0.6660","2.72M","3.20%"
"Jan 11, 2020","0.6722","0.6543","0.6887","0.6535","2.56M","2.74%"
"Jan 10, 2020","0.6543","0.6387","0.6664","0.6300","2.76M","2.42%"
"Jan 09, 2020","0.6388","0.6590","0.6591","0.6316","3.09M","-3.06%"
"Jan 08, 2020","0.6590","0.6718","0.6918","0.6377","4.16M","-1.95%"
"Jan 07, 2020","0.6721","0.6848","0.6972","0.6657","3.80M","-1.87%"
"Jan 06, 2020","0.6848","0.6346","0.6848","0.6322","3.43M","7.89%"
"Jan 05, 2020","0.6348","0.6273","0.6501","0.6272","2.05M","1.22%"
"Jan 04, 2020","0.6272","0.6344","0.6352","0.6162","1.35M","-1.10%"
"Jan 03, 2020","0.6341","0.5947","0.6356","0.5853","2.45M","6.62%"
"Jan 02, 2020","0.5947","0.6222","0.6250","0.5858","3.28M","-4.44%"
"Jan 01, 2020","0.6223","0.6071","0.6229","0.6049","1.40M","2.51%"
"Dec 31, 2019","0.6071","0.6166","0.6267","0.6027","2.09M","-1.55%"
"Dec 30, 2019","0.6167","0.6356","0.6425","0.6160","3.14M","-2.98%"
"Dec 29, 2019","0.6356","0.6241","0.6511","0.6150","3.56M","1.85%"
"Dec 28, 2019","0.6241","0.6267","0.6308","0.6209","1.66M","-0.42%"
"Dec 27, 2019","0.6267","0.6140","0.6276","0.6043","1.58M","2.07%"
"Dec 26, 2019","0.6140","0.6066","0.6316","0.6020","1.55M","1.23%"
"Dec 25, 2019","0.6066","0.6216","0.6225","0.6050","1.78M","-2.42%"
"Dec 24, 2019","0.6216","0.6295","0.6312","0.6143","2.11M","-1.26%"
"Dec 23, 2019","0.6295","0.6506","0.6744","0.6225","3.55M","-3.24%"
"Dec 22, 2019","0.6506","0.6464","0.6574","0.6431","3.40M","0.64%"
"Dec 21, 2019","0.6465","0.6535","0.6537","0.6389","1.98M","-1.08%"
"Dec 20, 2019","0.6535","0.6312","0.6579","0.6247","1.95M","3.54%"
"Dec 19, 2019","0.6312","0.6592","0.6651","0.6241","3.52M","-4.22%"
"Dec 18, 2019","0.6589","0.5905","0.6720","0.5694","6.99M","11.59%"
"Dec 17, 2019","0.5905","0.6552","0.6632","0.5809","6.02M","-9.88%"
"Dec 16, 2019","0.6552","0.7019","0.7028","0.6362","3.34M","-6.60%"
"Dec 15, 2019","0.7016","0.7049","0.7055","0.6892","2.04M","-0.47%"
"Dec 14, 2019","0.7049","0.7084","0.7422","0.6945","2.71M","-0.50%"
"Dec 13, 2019","0.7084","0.7111","0.7319","0.7039","4.09M","-0.38%"
